How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
26-100,True,Yes,Yes,None did,I don't know,Yes,Yes,Yes,3,Maybe,Fear of discrimination,Stigma,26.0,M
26-100,True,No,Yes,None did,Sometimes,Yes,Yes,Yes,7,No,Fear of discrimination,Stigma,40.0,Male
6-25,False,No,I don't know,Some did,I don't know,Yes,Yes,Yes,9,Maybe,They will find ways to not hire you,They will not hire you,30.0,male
26-100,False,No,I don't know,None did,I don't know,Yes,Don't Know,No,5,No,"It makes a bad impression, consciously or not.",Same as phys: unconscious bias (if not conscious bias),38.0,Male
More than 1000,True,Yes,I don't know,None did,I don't know,Yes,No,No,7,Yes,Fear of discrimination,Stigma,28.0,male
More than 1000,False,No,I don't know,None did,I don't know,Yes,No,No,4,Maybe,Fear of discrimination,Stigma,28.0,Female
More than 1000,True,No,I don't know,Some did,I don't know,Yes,Possibly,Yes,7,Yes,I know my rights if they don't hire me.,I'm not sure.,30.0,Male
More than 1000,False,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,10,No,I wouldn't want them to even think of it in their decision making,"I make data visualizations with my mental health data, so it would likely come up in that context. ",23.0,Nonbinary
More than 1000,True,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,10,Yes,Its the norm.,Fear I wouldn't get hired.,30.0,male
More than 1000,False,Yes,I don't know,Some did,"Yes, always",Yes,Yes,Yes,9,No,I would fear discrimination in hiring,I would fear discrimination in hiring,33.0,female
500-1000,False,No,Yes,None did,"Yes, always",Yes,No,Yes,10,No,Discrimination avoidance,Discrimination Avoidance,53.0,Female
More than 1000,False,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,5,No,"They don't need to know, but I'd consider speaking about it if there are responsibilities i may not be able to accomplish.",I feel I would be judged and rejected even if I was the best candidate otherwise.,38.0,Male
26-100,True,No,I don't know,None did,I don't know,Yes,Yes,No,10,No,I probably won't get the job. No one want to hire someone sick.,Same as above,34.0,male
More than 1000,False,No,I don't know,None did,I don't know,Yes,No,I don't know,5,Yes,"Generally, it's a fairness consideration. If I may need to be gone excessively or otherwise handle issues related to a physical problem, that should be a fair notice.","Again, if it may become an issue that affects how I work, or my general ability to work at all, then it should be fairly noted for consideration",40.0,Male
More than 1000,True,No,I don't know,None did,I don't know,Yes,No,Yes,8,Yes,Need to arrange accommodation up front.,Need to arrange accommodation up front.,42.0,Male
6-25,True,No,I don't know,None did,I don't know,Yes,Yes,I don't know,10,Yes,"I don’t like surprises in a working environment. If I have a need, I want to address it. ","I don’t want to be judged before I start working based on a mental condition. Once I have established myself and have a reputation based on my work and my demeanor, then I can be more comfortable that revealing a mental disorder wouldn’t affect others’ views of me quite so much. ",42.0,Male
26-100,False,No,I don't know,None did,I don't know,Yes,Yes,I don't know,6,No,I wouldn’t see why it wouldn’t be relevant in an interview.,Same reason.,38.0,Male
More than 1000,False,No,Yes,None did,"Yes, always",Yes,Yes,Yes,10,No,I don't want it to influence them (even unconscious bias). I don't want them to not hire me because of it.,I don't want it to influence them (even unconscious bias). I don't want them to not hire me because of it.,33.0,agender
100-500,True,I don't know,Yes,Some did,I don't know,Yes,Yes,Yes,9,Maybe,"In general, I don't think the interview is the right place for this type of discussion unless it would prevent me from performing the job.",I would be afraid of not getting the job.,35.0,Male
100-500,True,No,I don't know,None did,I don't know,Yes,Possibly,I don't know,4,No,In the fear that the employer won't choose me,In the fear that they won't choose me,27.0,Female
More than 1000,False,Yes,I don't know,None did,Sometimes,Yes,No,No,7,Maybe,Fear of discrimination,Stigma,28.0,Female
More than 1000,True,No,No,None did,Sometimes,Yes,Yes,No,0,Maybe,I will bring up so that in future policy should be created to take care of personnel working for you should also be mentally healthy.,To save other like me ,42.0,Male
More than 1000,True,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,5,Maybe,"
","
",35.0,f
More than 1000,False,No,Yes,Some did,"Yes, always",Yes,Possibly,No,5,Maybe,I am diabetic so sometimes having a disability is one of the questions.,I don't feel that having a mental health issue is widely accepted.,40.0,Male
100-500,False,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,1,Maybe,Not sure if it would impact employment decision.,It would impact employment decision.,54.0,female
100-500,True,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,10,No,only if it was pertinent to performing the described duties,only if it was pertinent to the described job duties,37.0,male
More than 1000,False,I don't know,Yes,None did,I don't know,Yes,No,I don't know,8,Maybe,Not sure how that matters me bringing it up.,"One the one hand, no, because that might ruin my chance of getting hired. On the other hand, yes, because if the employer would not higher me just because of my mental illness, then it's not a good place for me to work at.",26.0,Female
100-500,False,No,I don't know,Some did,No,Yes,Don't Know,I don't know,0,No,Because it might affect the chances of being hired.,Because it surely would affect my chances of being hired.,37.0,Male
More than 1000,False,No,I don't know,None did,I don't know,Yes,Yes,I don't know,8,No,Would not get job,Judgemental,49.0,Female
More than 1000,False,Yes,Yes,None did,I don't know,Yes,No,No,5,No,Fear of being judged and not get the job,Fear of being judged and not get the job,23.0,Male
100-500,True,Yes,Yes,None did,I don't know,Yes,Possibly,I don't know,6,Maybe,.,.,42.0,Female
More than 1000,True,Yes,Yes,None did,I don't know,Yes,Don't Know,No,5,Maybe,"Don't want to appear as not being fit for work, making an issue of something others might not see as an issue","The stigma and the risk of not getting the role, another excuse would be found.",49.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Don't Know,No,6,Maybe,Fear of discrimination,Stigma,38.0,male
100-500,True,Yes,I don't know,None did,I don't know,Yes,No,Yes,0,No,Employer might think you will be off sick too much and not employ you.,Employer may think you are unreliable.,41.0,F
100-500,True,Yes,Yes,None did,"Yes, always",Yes,Possibly,No,7,Maybe,They may judge me and not give me a job due to the injury,I believe mental illness is less understood by employers so if an ongoing issue was revealed at an interview the application would not be carried further ,33.0,male
26-100,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,10,No,It has no impact on whether or not I can do the job and I don't need accommodations for it.,"It's not relevant to my ability to do the job. I would ask questions to see if it's a supportive environment, however.",27.0,Man
More than 1000,False,Yes,I don't know,I don't know,"Yes, always",Yes,No,No,6,No,has nothing to do with the employment,has nothing to do with the employment,47.0,male
100-500,True,Yes,Yes,None did,I don't know,Yes,Yes,Yes,8,Maybe,"It would depend on what it is, I also have chronic back pain but would not bring that up in an interview. If I was diagnosed with cancer or had kidney issues that prevented me from being able to work on a regular basis to get treatment, it would seem relevant.",It seems very possible to me that I would be denied an opportunity if I brought that up.,28.0,Male
More than 1000,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,7,No,Because I'm almost 50 and I can't take the risk. I can always leave the position if it doesn't work out.,I would not trust the hiring manager with this information before I knew them better.,49.0,Female
More than 1000,False,No,Yes,None did,I don't know,Yes,Possibly,I don't know,3,Yes,If the job if physical then talking about your physical health may prevent me from getting the job,I feel as if most employers might feel I won't be able to work effectively and also i think they take it as a precaution to avoid hiring people with mental health disorders as employees who suffer from this will most likely need more time off than others,23.0,Male
More than 1000,False,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,2,No,"I already feel like I have a lot of things going against a hiring manager calling me back, so I don't want to give them another reason to say no.","I already feel like I have a lot of things going against a hiring manager calling me back, so I don't want to give them another reason to say no.",23.0,Questioning
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,7,Maybe,Fear of discrimination,It would never be to my benefit.,38.0,cis male
1-5,True,I don't know,Yes,None did,I don't know,Yes,Yes,Yes,10,Maybe,It might just not be any of their business and not relevant to my job.  If it is relevant then I'm happy to discuss it with them.,I might not because of the stigma that some people still have.  It would have to depend on the person and my level of trust with them.,45.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Possibly,Yes,5,No,no obvious reason to do so,no obvious reason to do so,35.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,8,Yes,"This is Austria, a country with state-provided health care and state-regulated access to jobs, and to the job market, for anyone, including the disabled. Why wouldn't I bring it up ? This place has laws, and is a social-democratic paradise.","Depends. At this stage, you hardly know anything about a potential employer. Although this is a social-democratic paradise, there's - still and even here - a stigma associated with mental health issues. I'd be careful there, and if discussing it, do it in a guarded way.",51.0,Male
More than 1000,1.0,No,I don't know,Some did,No,Yes,Possibly,Yes,6,Maybe,"Depending on how well-known the health issue is, it could bias the employer against me due to their thinking that I won't be a reliable employee or that I could be a higher risk.","Same as the reason for physical issues -- there's more chance of bias with mental health issues of course, but there's also a risk of being decided against due to misunderstanding of the issues at hand.",34.0,female
26-100,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,3,Maybe,Fear of discrimination,Stigma,29.0,male
26-100,True,No,I don't know,I don't know,I don't know,Yes,Don't Know,I don't know,2,No,Fear of discrimination,Stigma,40.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Possibly,No,7,Maybe,Fear of discrimination,if asked,38.0,male
26-100,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,No,"Distrust in integrity of managers. May not hire me because of issue, but say that it was for another spurious reason (e.g., ""not enough experience"")","Distrust in integrity of managers. May not hire me because of issue, but say that it was for another spurious reason (e.g., ""not enough experience"")",32.0,Cis Male
More than 1000,True,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,7,No,Because I'd be afraid of discrimination.,Fear of discrimination.,22.0,female
1-5,True,Yes,Yes,None did,"Yes, always",Yes,Yes,Yes,7,Maybe,That I might need some physical thing,Unstable. Unreliable. I don’t trust yet,28.0,Male
More than 1000,True,Yes,I don't know,None did,No,Yes,Yes,I don't know,3,No,discrimination,discrimination,29.0,female
More than 1000,1.0,No,I don't know,I don't know,"Yes, always",Yes,Possibly,No,7,Yes,To make sure they can have arrangements,To make sure if I'm hired I would not have hidden something important for my productivity,32.0,I have a penis
100-500,True,No,I don't know,None did,I don't know,Yes,Yes,Yes,8,Maybe,"If it had relevance to my work, I would bring it up.  For example, I have knee problems and if the only desks available were standing desks, I would make that known so I could receive accommodations. ","Again, I would only bring it up if it was relevant to my ability to work.  For example, with my misophonia, open/share office spaces can be a challenge for me unless there is a culture that permits noise cancelling headphones.  If this accommodation didn't appear to be explicitly allowed, I would feel the need to bring it up as not being able to have it would make it miserable for me to work there. ",38.0,female
